MSN,YYYYMM,Value,Column_Order,Description,Unit
NGCCUUS,201007,10.04,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201007,70.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201007,5.49,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201007,17.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201007,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201007,5.34,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201007,100.6,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201008,4.38,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201008,6.22,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201008,16.65,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201008,96.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201008,9.94,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201008,69.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201008,5.37,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201008,17,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201008,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201008,5.06,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201008,100.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201009,3.83,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201009,5.72,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201009,15.63,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201009,96.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201009,9.56,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201009,68.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201009,4.61,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201009,16.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201009,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201009,4.61,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201009,100.7,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201010,4.05,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201010,5.7,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201010,13.37,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201010,96.8,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201010,9.27,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201010,71.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201010,4.73,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201010,16.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201010,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201010,4.45,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201010,101.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201011,4.12,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201011,5.48,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201011,10.89,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201011,97.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201011,8.86,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201011,77.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201011,4.6,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201011,16.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201011,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201011,4.55,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201011,101,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201012,4.68,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201012,5.74,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201012,9.98,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201012,97.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201012,8.82,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201012,80.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201012,5.5,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201012,17.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201012,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201012,5.68,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201012,101.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201013,4.48,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201013,6.18,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201013,11.39,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201013,97.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201013,9.47,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201013,77.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201013,5.49,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201013,18,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201013,6.25,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201013,5.27,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201013,100.8,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201101,4.37,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201101,5.69,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201101,9.9,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201101,96.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201101,8.74,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201101,72.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201101,5.66,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201101,16.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201101,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201101,5.66,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201101,101.7,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201102,4.34,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201102,5.75,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201102,10.14,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201102,96.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201102,8.88,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201102,72,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201102,5.77,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201102,16.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201102,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201102,5.29,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201102,101.8,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201103,3.95,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201103,5.73,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201103,10.43,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201103,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201103,8.89,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201103,69.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201103,5.21,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201103,16.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201103,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201103,4.84,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201103,101,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201104,4.05,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201104,5.62,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201104,11.27,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201104,96,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201104,9.02,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201104,66.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201104,5.34,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201104,16,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201104,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201104,5.03,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201104,101.6,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201105,4.12,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201105,5.8,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201105,12.5,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201105,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201105,9.35,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201105,63.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201105,5.21,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201105,16.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201105,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201105,5.04,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201105,101.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201106,4.2,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201106,6.12,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201106,14.7,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201106,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201106,9.57,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201106,61.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201106,5.21,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201106,15.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201106,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201106,5.2,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201106,101.1,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201107,4.27,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201107,6.16,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201107,16.14,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201107,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201107,9.58,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201107,60.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201107,5.05,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201107,16.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201107,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201107,5.13,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201107,100.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201108,4.2,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201108,6.19,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201108,16.67,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201108,95.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201108,9.77,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201108,58.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201108,5.21,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201108,16,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201108,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201108,4.85,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201108,101,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201109,3.82,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201109,5.94,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201109,15.63,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201109,95.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201109,9.46,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201109,57.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201109,4.84,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201109,15.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201109,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201109,4.71,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201109,101.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201110,3.62,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201110,5.45,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201110,12.85,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201110,95.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201110,8.94,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201110,61.4,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201110,4.71,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201110,15.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201110,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201110,4.49,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201110,101.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201111,3.35,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201111,5.29,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201111,10.78,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201111,95.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201111,8.62,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201111,66.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201111,4.64,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201111,16.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201111,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201111,4.26,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201111,101.1,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201112,3.14,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201112,5.03,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201112,9.83,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201112,96.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201112,8.3,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201112,69.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201112,4.59,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201112,16.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201112,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201112,4.18,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201112,101.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201113,3.95,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201113,5.63,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201113,11.03,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201113,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201113,8.91,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201113,67.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201113,5.13,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201113,16.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201113,7.48,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201113,4.89,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201113,101.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201201,2.89,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201201,4.85,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201201,9.62,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201201,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201201,8.04,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201201,71.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201201,4.58,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201201,16.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201201,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201201,3.82,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201201,95,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201202,2.46,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201202,4.73,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201202,9.47,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201202,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201202,7.76,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201202,70.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201202,4.19,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201202,16.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201202,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201202,3.46,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201202,95.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201203,2.25,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201203,4.84,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201203,10.41,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201203,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201203,8.16,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201203,68.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201203,3.71,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201203,16,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201203,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201203,3.09,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201203,95.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201204,1.89,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201204,4.19,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201204,10.94,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201204,95.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201204,8.04,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201204,62.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201204,3.21,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201204,15.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201204,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201204,2.81,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201204,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201205,1.94,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201205,4.3,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201205,12.61,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201205,95.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201205,8.14,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201205,59.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201205,3.02,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201205,15.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201205,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
