,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Chained GDP Deflator","0.6522544357","0.6950609542","0.7450232275","0.8026952296","0.8008740633","0.8151650819","0.8470974159","0.8759205212","0.9118571685","0.947631826","0.9659721156","0.9756482478","0.9443202402","0.9635220617","0.9766840263","1","1.0312965372","1.0676534682","1.1156390688","1.1489748409","1.2011775705","1.2512733447","1.2915765698","1.262233422","1.3604352362","1.3655918869"

"California Gross Domestic Product","1071117","1147520.4","1241899.7","1356975.4","1375761.3","1418429.6","1497918.7","1588177.4","1698560.4","1812210","1898902","1944695.3","1890165.9","1954092.7","2023500","2113096.4","2220389.9","2335286.5","2473555.9","2569634","2728743.1","2897200.7","3042694.1","3020173.4","3373240.7","3598102.7"
"        Index","100","107.13305829","115.94435529","126.68787817","128.44173886","132.42527194","139.84641267","148.27300846","158.5784186","169.1888001","177.28240706","181.55769164","176.46680055","182.43503744","188.91493646","197.2796996","207.29667254","218.02347456","230.93237247","239.90227025","254.7567726","270.48405543","284.06738946","281.96484604","314.92737955","335.92060438"
"        Percent Change","N","7.1330582934","8.2246293835","9.2661025685","1.3843950303","3.1014319126","5.6040215179","6.0256073978","6.9502940918","6.6909366308","4.7837723001","2.4115673163","-2.804007394","3.3820734995","3.5518939301","4.4277934272","5.0775487574","5.1746137019","5.9208752331","3.8842097727","6.1918973675","6.1734503332","5.0218612746","-0.740156561","11.690298974","6.6660526182"
"        Percent of Nationwide Total","12.48744397","12.661851166","12.894585415","13.237554912","13.001044517","12.978457162","13.074894055","12.999524605","13.026572112","13.117144604","13.119193645","13.166645023","13.055374726","12.984893318","12.971377519","13.000494033","13.182711286","13.305954918","13.586470258","13.744955498","14.009836663","14.10993287","14.230847553","14.340481605","14.468063396","14.130864328"
"        Percent of U.S. Total","12.48744397","12.661851166","12.894585415","13.237554912","13.001044517","12.978457162","13.074894055","12.999524605","13.026572112","13.117144604","13.119193645","13.166645023","13.055374726","12.984893318","12.971377519","13.000494033","13.182711286","13.305954918","13.586470258","13.744955498","14.009836663","14.10993287","14.230847553","14.340481605","14.468063396","14.130864328"
"        State Rank","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"        State Rank Change","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"California Real Gross Domestic Product","1378276.5","1468730.8","1574305.9","1696172.4","1692324.1","1722522.4","1789998.5","1850904.5","1926842.1","2002437.4","2041192.2","2061638.8","1995439.7","2036015","2063827.5","2113096.4","2179229","2256054.7","2357452.9","2427894.6","2538204","2644061.2","2729225.8","2667220.9","2874730.8","2885627.3"
"        Index","100","106.56285586","114.22279202","123.06474064","122.78552961","124.97654861","129.87223536","134.29123256","139.80083822","145.28560851","148.09743908","149.58092952","144.77789471","147.72181054","149.73972929","153.3144039","158.11261383","163.68665504","171.0435388","176.15439282","184.15782319","191.83822695","198.01729189","193.51856467","208.57431727","209.3649061"
"        Percent Change","N","6.5628558566","7.1881858813","7.7409669874","-0.226881418","1.7844276992","3.9172843268","3.4025726837","4.1027292332","3.9232742527","1.9353813507","1.0016989091","-3.210994089","2.0334014603","1.3660262817","2.3872586251","3.1296537158","3.5253614925","4.4944920883","2.9880427304","4.5434179886","4.170555243","3.2209768821","-2.271886042","7.7800042734","0.3790441874"
"        Percent of Nationwide Total","11.954703193","12.192862854","12.471368758","12.910396418","12.759337205","12.770438979","12.909711494","12.85377483","12.930724893","13.074202483","13.064574074","13.179337775","13.09664864","13.010519336","12.986962115","13.000494033","13.164883624","13.324166694","13.55614094","13.732222702","14.041339848","14.208448156","14.337141966","14.410288472","14.659655075","14.417951659"
"        Percent of U.S. Total","11.954703193","12.192862854","12.471368758","12.910396418","12.759337205","12.770438979","12.909711494","12.85377483","12.930724893","13.074202483","13.064574074","13.179337775","13.09664864","13.010519336","12.986962115","13.000494033","13.164883624","13.324166694","13.55614094","13.732222702","14.041339848","14.208448156","14.337141966","14.410288472","14.659655075","14.417951659"
"        State Rank","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"        State Rank Change","N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"


